id,codigo,descripcion,provincia_id
526,04,HAQUIRA,35
527,05,MARA,35
528,06,CHALLHUAHUACHO,35
529,01,CHINCHEROS,36
530,02,ANCO_HUALLO,36
531,03,COCHARCAS,36
532,04,HUACCANA,36
533,05,OCOBAMBA,36
534,06,ONGOY,36
535,07,URANMARCA,36
536,08,RANRACANCHA,36
537,01,CHUQUIBAMBILLA,37
538,02,CURPAHUASI,37
539,03,GAMARRA,37
540,04,HUAYLLATI,37
541,05,MAMARA,37
542,06,MICAELA BASTIDAS,37
543,07,PATAYPAMPA,37
544,08,PROGRESO,37
545,09,SAN ANTONIO,37
546,10,SANTA ROSA,37
547,11,TURPAY,37
548,12,VILCABAMBA,37
549,13,VIRUNDO,37
550,14,CURASCO,37
551,01,AREQUIPA,39
552,02,ALTO SELVA ALEGRE,39
553,03,CAYMA,39
554,04,CERRO COLORADO,39
555,05,CHARACATO,39
556,06,CHIGUATA,39
557,07,JACOBO HUNTER,39
558,08,LA JOYA,39
559,09,MARIANO MELGAR,39
560,10,MIRAFLORES,39
561,11,MOLLEBAYA,39
562,12,PAUCARPATA,39
563,13,POCSI,39
564,14,POLOBAYA,39
565,15,QUEQUEÑA,39
566,16,SABANDIA,39
567,17,SACHACA,39
568,18,SAN JUAN DE SIGUAS,39
569,19,SAN JUAN DE TARUCANI,39
570,20,SANTA ISABEL DE SIGUAS,39
571,21,SANTA RITA DE SIGUAS,39
572,22,SOCABAYA,39
573,23,TIABAYA,39
574,24,UCHUMAYO,39
576,26,YANAHUARA,39
577,27,YARABAMBA,39
578,28,YURA,39
579,29,JOSE LUIS BUSTAMANTE Y RIVERO,39
580,01,CAMANA,40
581,02,JOSE MARIA QUIMPER,40
582,03,MARIANO NICOLAS VALCARCEL,40
583,04,MARISCAL CACERES,40
584,05,NICOLAS DE PIEROLA,40
585,06,OCOÑA,40
586,07,QUILCA,40
587,08,SAMUEL PASTOR,40
588,01,CARAVELI,41
589,02,ACARI,41
590,03,ATICO,41
591,04,ATIQUIPA,41
592,05,BELLA UNION,41
593,06,CAHUACHO,41
594,07,CHALA,41
595,08,CHAPARRA,41
596,09,HUANUHUANU,41
597,10,JAQUI,41
598,11,LOMAS,41
